Estacion AMB NORMAL;;;Sensor IOT (PROM);;;
Fecha;Hora;Valor;Fecha;Hora;Valor;
28/11/2018;23:00:00;5,9;28/11/2018;23:01:11;11,0000009536743;
29/11/2018;0:00:00;5,8;29/11/2018;0:01:11;11,2857141494750;
29/11/2018;1:00:00;6;29/11/2018;1:01:11;12,8571434020996;
29/11/2018;2:00:00;7,1;29/11/2018;2:01:11;12,0000000000000;
29/11/2018;3:00:00;7,4;29/11/2018;3:01:11;11,4285717010498;
29/11/2018;4:00:00;8,7;29/11/2018;4:01:11;10,4285717010498;
29/11/2018;5:00:00;12,6;29/11/2018;5:01:11;10,1428575515747;
29/11/2018;6:00:00;10,7;29/11/2018;6:01:11;11,5714282989501;
29/11/2018;7:00:00;9,9;29/11/2018;7:01:11;9,8571424484253;
29/11/2018;8:00:00;9,9;29/11/2018;8:01:11;10,1428565979003;
29/11/2018;9:00:00;10,7;29/11/2018;9:01:11;7,8571429252625;
29/11/2018;10:00:00;10,4;29/11/2018;10:01:11;9,0000000000000;
29/11/2018;11:00:00;10;29/11/2018;11:01:11;10,4285717010498;
29/11/2018;12:00:00;9,6;29/11/2018;12:01:11;18,5714282989501;
29/11/2018;13:00:00;9,1;29/11/2018;13:01:11;13,4285717010498;
29/11/2018;14:00:00;8,2;29/11/2018;14:01:11;16,2857151031494;
29/11/2018;15:00:00;8,4;29/11/2018;15:01:11;15,5714282989501;
29/11/2018;16:00:00;9,6;29/11/2018;16:01:11;14,4285707473754;
29/11/2018;17:00:00;8,9;29/11/2018;17:01:11;15,4285717010498;
29/11/2018;18:00:00;9,6;29/11/2018;18:01:11;10,1428575515747;
29/11/2018;19:00:00;9,3;29/11/2018;19:01:11;10,1428565979003;
29/11/2018;20:00:00;9,1;29/11/2018;20:01:11;13,1428565979003;
29/11/2018;21:00:00;8,8;29/11/2018;21:01:11;13,5714292526245;
29/11/2018;22:00:00;8,1;29/11/2018;22:01:11;15,1428575515747;
29/11/2018;23:00:00;7,6;29/11/2018;23:01:11;14,7142848968505;
30/11/2018;0:00:00;7,5;30/11/2018;0:01:11;15,2857131958007;
30/11/2018;1:00:00;7,5;30/11/2018;1:01:11;17,5714302062988;
30/11/2018;2:00:00;7;30/11/2018;2:01:11;17,0000000000000;
30/11/2018;3:00:00;6,5;30/11/2018;3:01:21;13,9999990463256;
30/11/2018;4:00:00;6,9;30/11/2018;4:01:10;11,7142858505249;
30/11/2018;5:00:00;7,9;30/11/2018;5:01:11;12,5714282989501;
30/11/2018;6:00:00;8,9;30/11/2018;6:01:11;11,2857151031494;
30/11/2018;7:00:00;10,9;30/11/2018;7:01:11;8,0000000000000;
30/11/2018;8:00:00;9,7;30/11/2018;8:01:11;6,0000004768372;
30/11/2018;9:00:00;11,3;30/11/2018;9:01:11;4,2857146263123;
30/11/2018;10:00:00;12,1;30/11/2018;10:01:11;7,2857146263123;
30/11/2018;11:00:00;10,5;30/11/2018;11:01:11;10,0000000000000;
30/11/2018;12:00:00;10,5;30/11/2018;12:01:11;13,4285707473754;
30/11/2018;13:00:00;8,9;30/11/2018;13:01:21;20,2857151031494;
30/11/2018;14:00:00;8,9;30/11/2018;14:01:11;12,0000000000000;
30/11/2018;15:00:00;9,4;30/11/2018;15:01:11;14,1428565979003;
30/11/2018;16:00:00;9,7;30/11/2018;16:01:11;10,0000000000000;
30/11/2018;18:00:00;11,7;30/11/2018;18:01:20;10,1428565979003;
30/11/2018;19:00:00;11,2;30/11/2018;19:01:10;12,4285707473754;
30/11/2018;20:00:00;10,7;30/11/2018;20:01:10;10,0000000000000;
30/11/2018;21:00:00;10,4;30/11/2018;21:01:10;12,2857141494750;
30/11/2018;22:00:00;9;30/11/2018;22:01:10;12,0000009536743;
30/11/2018;23:00:00;8,9;30/11/2018;23:01:10;14,4285717010498;
1/12/2018;1:00:00;8;1/12/2018;1:01:10;15,14285659790030;
1/12/2018;2:00:00;6,9;1/12/2018;2:01:10;15,14285755157470;
1/12/2018;3:00:00;6,1;1/12/2018;3:01:10;15,00000000000000;
1/12/2018;4:00:00;6;1/12/2018;4:01:10;26,57142829895010;
1/12/2018;5:00:00;6,8;1/12/2018;5:01:10;9,00000000000000;
1/12/2018;6:00:00;9,1;1/12/2018;6:01:11;8,14285755157470;
1/12/2018;7:00:00;12,4;1/12/2018;7:01:10;15,85714149475090;
1/12/2018;8:00:00;15,3;1/12/2018;8:01:11;9,14285659790039;
1/12/2018;9:00:00;13,5;1/12/2018;9:01:10;9,14285659790039;
1/12/2018;10:00:00;11,5;1/12/2018;10:01:10;11,71428680419920;
1/12/2018;11:00:00;9,5;1/12/2018;11:01:10;17,85714340209960;
1/12/2018;12:00:00;9,6;1/12/2018;12:01:11;29,00000000000000;
1/12/2018;13:00:00;10,3;1/12/2018;13:01:10;29,85714149475090;
1/12/2018;14:00:00;10;1/12/2018;14:01:10;22,28571510314940;
1/12/2018;15:00:00;23,6;1/12/2018;15:01:11;13,42857170104980;
1/12/2018;16:00:00;9,8;1/12/2018;16:01:10;11,28571414947500;
1/12/2018;17:00:00;10,8;1/12/2018;17:01:10;12,57142925262450;
1/12/2018;18:00:00;10,8;1/12/2018;18:01:10;12,28571414947500;
1/12/2018;19:00:00;12;1/12/2018;19:01:10;13,14285659790030;
1/12/2018;20:00:00;11,6;1/12/2018;20:01:10;12,28571414947500;
1/12/2018;21:00:00;11,8;1/12/2018;21:01:12;11,99999904632560;
1/12/2018;22:00:00;12;1/12/2018;22:01:10;14,85714149475090;
1/12/2018;23:00:00;11,3;1/12/2018;23:01:10;14,42857170104980;
2/12/2018;0:00:00;10,1;2/12/2018;0:01:10;15,71428585052490;
2/12/2018;1:00:00;8,4;2/12/2018;1:01:10;13,85714149475090;
2/12/2018;2:00:00;14,7;2/12/2018;2:01:11;13,85714149475090;
2/12/2018;3:00:00;14,3;2/12/2018;3:01:10;15,00000000000000;
2/12/2018;4:00:00;14,5;2/12/2018;4:01:10;14,85714149475090;
2/12/2018;5:00:00;9,4;2/12/2018;5:01:10;17,14285850524900;
2/12/2018;6:00:00;15,3;2/12/2018;6:01:10;10,42857074737540;
2/12/2018;7:00:00;17,9;2/12/2018;7:01:11;17,42857170104980;
2/12/2018;8:00:00;20,5;2/12/2018;8:01:10;19,00000000000000;
2/12/2018;9:00:00;19,4;2/12/2018;9:01:11;16,42857170104980;
2/12/2018;10:00:00;13,5;2/12/2018;10:01:10;16,57142639160150;
2/12/2018;11:00:00;10,9;2/12/2018;11:01:10;26,42857170104980;
2/12/2018;12:00:00;10,9;2/12/2018;12:01:10;30,14285659790030;
2/12/2018;13:00:00;10,6;2/12/2018;13:01:10;29,57142639160150;
2/12/2018;14:00:00;11;2/12/2018;14:01:10;21,42856979370110;
2/12/2018;15:00:00;10;2/12/2018;15:01:10;18,71428680419920;
2/12/2018;16:00:00;10,4;2/12/2018;16:01:10;17,71428489685050;
2/12/2018;17:00:00;11,5;2/12/2018;17:01:11;13,28571319580070;
2/12/2018;18:00:00;11,6;2/12/2018;18:01:10;11,42857170104980;
2/12/2018;19:00:00;11,9;2/12/2018;19:01:11;12,42857074737540;
2/12/2018;20:00:00;11,5;2/12/2018;20:01:10;13,71428680419920;
2/12/2018;21:00:00;11,2;2/12/2018;21:01:10;14,99999904632560;
2/12/2018;22:00:00;10,9;2/12/2018;22:01:10;16,71428680419920;
2/12/2018;23:00:00;12,3;2/12/2018;23:01:10;19,57142829895010;
3/12/2018;0:00:00;13,7;3/12/2018;0:01:11;19,85714340209960;
3/12/2018;1:00:00;9,6;3/12/2018;1:01:10;18,85714340209960;
3/12/2018;2:00:00;12,9;3/12/2018;2:01:10;17,00000000000000;
3/12/2018;3:00:00;14,8;3/12/2018;3:01:20;16,85714149475090;
3/12/2018;4:00:00;14,3;3/12/2018;4:01:10;17,85714340209960;
3/12/2018;5:00:00;13;3/12/2018;5:01:11;15,28571319580070;
3/12/2018;6:00:00;14,3;3/12/2018;6:01:11;21,85714149475090;
3/12/2018;7:00:00;21,2;3/12/2018;7:01:11;31,71428489685050;
3/12/2018;8:00:00;22,3;3/12/2018;8:01:10;25,28571510314940;
3/12/2018;9:00:00;19,7;3/12/2018;9:01:11;17,28571510314940;
3/12/2018;10:00:00;15,2;3/12/2018;10:01:11;23,99999809265130;
3/12/2018;11:00:00;14,3;3/12/2018;11:01:11;30,85714149475090;
3/12/2018;12:00:00;13;3/12/2018;12:01:10;29,42856979370110;
3/12/2018;13:00:00;12,1;3/12/2018;13:01:20;30,57142829895010;
3/12/2018;14:00:00;11,9;3/12/2018;14:01:11;26,14285659790030;
3/12/2018;15:00:00;12,1;3/12/2018;15:01:10;21,00000000000000;
3/12/2018;16:00:00;13,7;3/12/2018;16:01:10;20,00000000000000;
3/12/2018;17:00:00;14,4;3/12/2018;17:01:20;18,71428489685050;
3/12/2018;18:00:00;15,1;3/12/2018;18:01:11;14,14285659790030;
3/12/2018;19:00:00;14,3;3/12/2018;19:01:10;17,14285659790030;
3/12/2018;20:00:00;14,3;3/12/2018;20:01:10;13,85714340209960;
3/12/2018;21:00:00;13,2;3/12/2018;21:01:10;17,28571319580070;
3/12/2018;22:00:00;12,9;3/12/2018;22:01:10;20,14285659790030;
3/12/2018;23:00:00;13,5;3/12/2018;23:01:10;20,28571510314940;
4/12/2018;0:00:00;13,4;4/12/2018;0:01:10;19,28571510314940;
4/12/2018;1:00:00;14,8;4/12/2018;1:01:20;20,85714340209960;
4/12/2018;2:00:00;20,4;4/12/2018;2:01:10;15,99999904632560;
4/12/2018;3:00:00;17,5;4/12/2018;3:01:10;17,00000000000000;
4/12/2018;4:00:00;16,3;4/12/2018;4:01:10;13,14285755157470;
4/12/2018;5:00:00;17,6;4/12/2018;5:01:11;11,57142829895010;
4/12/2018;6:00:00;22,8;4/12/2018;6:01:10;15,71428394317620;
