Fecha;Hora;Valor
10/12/2018;10:01:21;28,42856979
10/12/2018;11:01:11;33,42857361
10/12/2018;12:01:11;44
10/12/2018;13:01:11;37,14285278
10/12/2018;14:01:11;33,8571434
10/12/2018;15:01:11;27
10/12/2018;16:01:32;29,8571434
10/12/2018;17:01:11;20,85714149
10/12/2018;18:01:11;17,4285717
10/12/2018;19:01:11;18,4285717
10/12/2018;20:01:11;18,5714283
10/12/2018;21:01:11;18,1428566
10/12/2018;22:01:11;19,7142868
10/12/2018;23:01:11;24,1428566
11/12/2018;0:01:11;23
11/12/2018;1:01:11;22
11/12/2018;2:01:11;20,14285851
11/12/2018;3:01:11;21,7142849
11/12/2018;4:01:10;19,4285717
11/12/2018;5:01:11;29,28571129
11/12/2018;6:01:11;28,57142639
11/12/2018;7:01:11;28,1428566
11/12/2018;8:01:11;28,85714149
11/12/2018;9:01:11;29,1428566
11/12/2018;10:01:11;35,57142639
11/12/2018;11:01:11;37,2857132
11/12/2018;12:01:11;41,2857132
11/12/2018;13:01:11;41,00000381
11/12/2018;14:01:11;33,57143021
11/12/2018;15:01:11;28,85714149
11/12/2018;16:01:11;24,1428566
11/12/2018;17:01:11;21,2857151
11/12/2018;18:01:11;15,8571434
11/12/2018;19:01:12;20,14285851
11/12/2018;20:01:11;18,2857151
11/12/2018;21:01:11;19,4285717
11/12/2018;22:01:11;23,2857151
11/12/2018;23:01:11;23,4285717
12/12/2018;0:01:11;23
12/12/2018;1:01:11;22
12/12/2018;2:01:11;20,14285851
12/12/2018;3:01:11;21,7142849
12/12/2018;4:01:10;19,4285717
12/12/2018;5:01:11;29,28571129
12/12/2018;6:01:11;28,57142639
12/12/2018;7:01:11;28,1428566
12/12/2018;8:01:11;28,85714149
12/12/2018;9:01:11;29,1428566
12/12/2018;10:01:11;35,57142639
12/12/2018;11:01:11;37,2857132
12/12/2018;12:01:11;41,2857132
12/12/2018;13:01:11;41,00000381
12/12/2018;14:01:11;33,57143021
12/12/2018;15:01:11;28,85714149
12/12/2018;16:01:11;24,1428566
12/12/2018;17:01:11;21,2857151
12/12/2018;18:01:11;15,8571434
12/12/2018;19:01:12;20,14285851
12/12/2018;20:01:11;18,2857151
12/12/2018;21:01:11;19,4285717
12/12/2018;22:01:11;23,2857151
12/12/2018;23:01:11;23,4285717
13/12/2018;0:01:20;23,57143021
13/12/2018;1:01:11;23,7142868
13/12/2018;2:01:11;21,4285717
13/12/2018;3:01:11;20,8571434
13/12/2018;4:01:12;17,4285717
13/12/2018;5:01:11;24,7142849
13/12/2018;6:01:11;25,5714283
13/12/2018;7:01:11;24,8571434
13/12/2018;8:01:11;23,2857132
13/12/2018;9:01:11;29
13/12/2018;10:01:11;24,4285717
13/12/2018;11:01:11;31,2857151
13/12/2018;12:01:11;23,8571434
13/12/2018;13:01:11;39,1428566
13/12/2018;14:01:11;28,57142639
13/12/2018;15:01:11;28,1428566
13/12/2018;16:01:11;20,2857151
13/12/2018;17:01:11;18
13/12/2018;18:01:11;17,5714283
13/12/2018;19:01:11;13,57142925
13/12/2018;20:01:11;14,7142849
13/12/2018;21:01:11;7,571429253
13/12/2018;22:01:11;10,85714245
13/12/2018;23:01:09;9,285715103
14/12/2018;0:01:10;10,8571434
14/12/2018;1:01:10;9,571428299
14/12/2018;2:01:21;16,8571434
14/12/2018;3:01:10;15,1428566
14/12/2018;4:01:10;14,57142735
14/12/2018;5:01:10;17,4285717
14/12/2018;6:01:10;11,7142849
14/12/2018;7:01:10;14,1428566
14/12/2018;8:01:10;14,85714149
14/12/2018;9:01:10;13,2857132
14/12/2018;10:01:10;16,5714283
14/12/2018;11:01:11;22,4285717
14/12/2018;12:01:10;28,85714149
14/12/2018;13:01:10;34,7142868
14/12/2018;14:01:11;24,00000191
14/12/2018;15:01:09;15,42856979
14/12/2018;16:01:10;14,57142735
14/12/2018;17:01:10;11,5714283
14/12/2018;18:01:10;12,28571415
14/12/2018;19:01:11;19,1428566
14/12/2018;20:19:18;22,5714283
11/04/2019;17:29:20;23,5
11/04/2019;18:02:49;22,08333397
11/04/2019;19:02:50;25,25
11/04/2019;20:03:00;28,74999809
11/04/2019;21:02:49;29
11/04/2019;22:02:50;27,83333397
11/04/2019;23:02:50;27,16666603
12/04/2019;0:02:50;25,83333588
12/04/2019;1:02:50;33,41666794
12/04/2019;2:02:50;28,66666603
12/04/2019;3:02:50;31,74999809
12/04/2019;4:04:39;27,91666794
12/04/2019;5:02:49;27,33333397
12/04/2019;6:02:48;27
12/04/2019;7:02:49;26,16666412
12/04/2019;8:02:49;25,08333397
12/04/2019;9:02:49;24,83333397
12/04/2019;10:02:49;34,58333588
12/04/2019;12:03:00;35,41666412
12/04/2019;13:02:48;35,08333588
12/04/2019;14:02:48;41,91666794
12/04/2019;15:02:48;35,58333206
12/04/2019;16:02:48;33,91666794
12/04/2019;17:02:48;30,00000191
12/04/2019;18:02:48;28,75
12/04/2019;19:02:48;27,16666412
12/04/2019;20:02:48;30,83333397
